Method,Time (s),MSE,Coverage,Interval Width,Mean Est.,Std Est.,Status
ABC,28.05,0.0259,0.75,0.70,"[0.229, 0.727, 0.899, -0.298]","[0.046, 0.148, 0.351, 0.293]",SUCCESS
ABC-MCMC,19.59,0.0190,1.00,0.72,"[0.206, 0.771, 0.908, -0.273]","[0.058, 0.169, 0.341, 0.311]",SUCCESS
ABC-SMC,9.67,0.0267,0.50,0.65,"[0.221, 0.717, 0.890, -0.313]","[0.045, 0.114, 0.331, 0.266]",SUCCESS
Simple-NN,4.94,0.0014,0.75,0.22,"[0.162, 0.959, 0.794, -0.241]","[0.002, 0.075, 0.071, 0.061]",SUCCESS
JANA,44.21,0.0079,0.75,0.68,"[0.191, 1.100, 0.882, -0.331]","[0.044, 0.270, 0.275, 0.239]",SUCCESS
Simformer,143.54,0.0014,0.75,0.22,"[0.157, 0.953, 0.805, -0.239]","[0.000, 0.084, 0.073, 0.061]",SUCCESS
