Method,Success,Num_Samples,Time_seconds,MSE,MAE,Coverage_95,Std_Error
ABC,True,150,11.349036693572998,3.466306298913782,1.0711227449993366,1.0,1.240519750033369
ABC-MCMC,True,100,73.51933264732361,13.813085033039377,2.49630389636286,0.16666666666666666,0.10888291473719007
ABC-SMC,True,100,15.293795824050903,1.4861218265347904,0.8021393654784669,0.8333333333333334,1.2311527592640479
JANA,True,10,4.000259160995483,1.0348624692825472,0.5840715537468593,0.3333333333333333,0.41943150758743286
Simformer,True,200,30.835423707962036,4.283125969553577,1.2317312677701315,1.0,1.7968429327011108
